step,x_min,x_p1,x_mean,x_var,x_p99,x_max,x_count,y_min,y_p1,y_mean,y_var,y_p99,y_max,y_count,dx_min,dx_p1,dx_mean,dx_var,dx_p99,dx_max,dx_count,dy_min,dy_p1,dy_mean,dy_var,dy_p99,dy_max,dy_count
1,-0.6321680882490002,-0.0029891382478296905,2.545888925149787,3.2154820313190946,6.7532656120049275,10.082704938619685,17999,-0.4517897068684369,-0.204066822308742,-0.01866157080663914,0.002561511669649252,0.1576342727775977,0.3691221128715412,17999,-0.6321680882490002,-0.0029891382478296905,2.545888925149787,3.2154820313190946,6.7532656120049275,10.082704938619685,17999,-0.4517897068684369,-0.204066822308742,-0.01866157080663914,0.002561511669649252,0.1576342727775977,0.3691221128715412,17999
2,-0.9734267084409218,-0.0029601637456872646,5.0871046006851595,12.79177241270918,13.394861615125539,19.23688574494562,17999,-1.5329229618446365,-0.80021028782223,-0.0411887591936131,0.039741396036591284,0.6695647141259223,1.5263805824241907,17999,-0.6307203791837497,-0.0030601789720991978,2.541215675535373,3.2222100788443413,6.7313796928696075,10.076870969699407,17999,-1.1921812293857037,-0.601130883758677,-0.022527188386973963,0.022629737466750486,0.5112233410267288,1.1572584695526495,17999
3,-1.2804301184952367,-0.0018131044036996237,7.619681818164134,28.690974158037623,20.1281707878702,28.44241751338704,17999,-2.921632623833708,-1.7840757373694294,-0.06708905465373718,0.1986095089200137,1.5089476163073319,3.7064633990347793,17999,-0.6286895122767697,-0.0030826906513271063,2.532577217478975,3.2306588159729315,6.7200438332209504,10.061863067347183,17999,-1.7632209189729533,-0.9737535623537055,-0.025900295460124064,0.06197236220300735,0.8513866818165571,2.1800828166105886,17999
4,-1.6048228807248994,-0.0015307365225205344,10.141112467599898,50.86030178394229,26.684363371594486,37.60226815260169,17999,-4.892922444153639,-3.091813517721254,-0.09595222985703407,0.6133218298553679,2.676207178575891,6.439580417396458,17999,-0.6283918226309821,-0.0032191557097992307,2.521430649435764,3.2432182306206863,6.701408723951641,10.037209359046912,17999,-2.161540594975195,-1.319825896355595,-0.02886317520329691,0.1173096363844623,1.1725874162387584,3.1135240992668543,17999
5,-1.8562473550069414,-0.0013505439254663156,12.64871904841701,79.21787475561545,33.28435541574547,46.695847319976735,17999,-7.387308927824003,-4.726712094850489,-0.12731999399209246,1.4504466101698774,4.108718799342462,9.644329307170024,17999,-0.6284111253888646,-0.003216815771371681,2.507606580817115,3.2557585121944874,6.688752181129905,10.011330736272683,17999,-2.7655311200884842,-1.6518169298411907,-0.03136776413505839,0.18477794201455758,1.4843744430793016,3.7049765864751967,17999
6,-2.0358796921696753,-0.0011967178712745535,15.140258488281269,113.65619819597079,39.79684762032002,55.83950910374405,17999,-10.30010037818985,-6.5771477491849675,-0.16076189195732132,2.8968496042631755,5.86290057226268,13.310371242492394,17999,-0.6283925157712245,-0.0032654287739397343,2.491539439864256,3.2668059539658674,6.6992270794936015,9.992024660425159,17999,-3.319893363155405,-1.938958763935648,-0.03344189796522884,0.26111047568646306,1.7351046651863509,4.094765266816151,17999
7,-2.1698948607770956,-0.0011531907158180742,17.61422103094685,154.06432957078317,46.45266321513236,64.81112622962127,17999,-13.607381661386638,-8.679655277604288,-0.19619435295090343,5.151952331110335,7.710915240939728,17.321718495794045,17999,-0.6283431307275668,-0.0034861200036285494,2.4739625426655802,3.2777509919866525,6.685795034785457,9.983504399948572,17999,-3.607388098282321,-2.2088793372770805,-0.03543246099358211,0.3441726837524867,2.010800313801229,4.268964326583461,17999
8,-2.2865393184740013,-0.0007972197334722124,20.069779245758948,200.338592391769,53.08471247196846,73.67635781342317,17999,-17.228933483948325,-11.075929027747936,-0.2334904641286943,8.42501754909166,9.889800647291992,21.954769106679983,17999,-0.7543770749666701,-0.0044594918840066555,2.455558214812096,3.2908778563937697,6.677076767132663,9.976619343528156,17999,-3.9611934443231345,-2.4225019582198906,-0.037296111177790914,0.4327618102529639,2.1985683529002276,4.673941790294457,17999
9,-2.420751535271684,-0.0005218997273647403,22.505341170073272,252.34087104992165,59.487449393359064,81.81787234504743,17999,-21.13695236921073,-13.574884059944365,-0.2725221395421699,12.92958445275072,12.064062219350177,26.930772351391855,17999,-0.8952229368809119,-0.004374418322105279,2.435561924314327,3.301990779478001,6.679453660602481,9.974505187803274,17999,-4.392334550280427,-2.6411823525212776,-0.03903167541347557,0.5255301071330001,2.399862392584035,5.396293635075054,17999
10,-2.4845941459181597,-0.00044676112728818965,24.92022780880506,309.9549790895089,65.96213053345848,90.62725887887848,17999,-25.175312344864484,-16.257941890844013,-0.3128585031112173,18.880684473648163,14.667944722628052,31.90243370731388,17999,-1.0416801905856587,-0.0052647849711162835,2.4148866387317836,3.3150679337407385,6.672988908111236,9.976014490980631,17999,-4.750940237838638,-2.8383679663825867,-0.0403363635690474,0.6210757689523403,2.603996886042432,5.8809230367855925,17999
